ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,diffic
1,21.798202394816204,183,73,1,1,0,361.25,6.686995,1.2999999999999545,1.4293836,0.6442953,619,117,772,0,1,0
1,21.798202394816204,183,73,1,1,0,361.25,6.850261,-1.2999999999999545,1.2584958,0.64666665,619,123,778,0,1,0
1,21.798202394816204,183,73,1,1,0,360.15,5.924963,-0.9000000000000341,0.92804414,0.6423841,619,128,783,0,1,0
1,21.798202394816204,183,73,1,1,0,359.29999999999995,5.904875,-0.8000000000000114,1.250775,0.6447368,619,133,788,0,1,0
1,21.798202394816204,183,73,1,1,0,359.65,5.8735747,1.5,1.3254098,0.64705884,624,133,793,0,1,0
1,21.798202394816204,183,73,1,1,0,360.54999999999995,6.4559073,0.30000000000001137,1.3166595,0.64935064,630,133,799,0,1,0
1,21.798202394816204,183,73,1,1,0,360.5,6.6573706,-0.39999999999997726,1.3290128,0.6516129,630,139,805,0,1,0
1,21.798202394816204,183,73,1,1,0,358.95000000000005,7.3093295,-2.6999999999999886,1.3974708,0.65384614,630,146,812,0,1,0
1,21.798202394816204,183,73,1,1,0,355.85,7.1709104,-3.5,1.3151153,0.656051,630,153,819,0,1,0
1,21.798202394816204,183,73,1,1,0,352.75,6.5765715,-2.7000000000000455,1.1277564,0.65822786,630,159,825,0,1,0
1,21.798202394816204,183,73,1,1,0,351.25,6.590795,-0.2999999999999545,1.2399658,0.6603774,630,165,831,0,1,0
1,21.798202394816204,183,73,1,1,0,351.75,4.280189,1.2999999999999545,0.6156078,0.65625,634,165,835,0,1,0
1,21.798202394816204,183,73,1,1,0,352.54999999999995,6.2621098,0.30000000000001137,1.4762233,0.6583851,640,165,841,0,1,0
1,21.798202394816204,183,73,1,1,0,351.85,6.6785235,-1.6999999999999886,1.3475428,0.66049385,640,171,847,0,1,0
1,21.798202394816204,183,73,1,1,0,350.95,6.9498634,-0.10000000000002274,1.42681,0.6625767,640,177,853,0,1,0
1,21.798202394816204,183,73,1,1,0,351.1,6.432157,0.4000000000000341,1.9121931,0.66463417,646,177,859,0,1,0
1,21.798202394816204,183,73,1,1,0,351.1,5.273835,-0.4000000000000341,1.0129733,0.6666667,646,182,864,0,1,0
1,21.798202394816204,183,73,1,1,0,350.7,4.600562,-0.39999999999997726,0.9578981,0.6626506,646,186,868,0,1,0
1,21.798202394816204,183,73,1,1,0,350.45,4.4575386,-0.10000000000002274,0.7484061,0.65868264,646,190,872,0,1,0
1,21.798202394816204,183,73,1,1,0,349.79999999999995,5.0205894,-1.1999999999999886,0.9203233,0.6547619,646,195,877,0,1,1
1,21.798202394816204,183,73,1,1,0,349.9,5.6388144,1.400000000000034,0.83642364,0.65088755,651,195,882,0,1,1
1,21.798202394816204,183,73,1,1,0,351.3,5.545806,1.3999999999999773,0.65421194,0.64705884,656,195,887,0,1,1
1,21.798202394816204,183,73,1,1,0,352.3,3.5417144,0.6000000000000227,0.5795772,0.64327484,659,195,890,0,1,2
1,21.798202394816204,183,73,1,1,0,354.05,6.1974764,2.8999999999999773,0.694875,0.6395349,665,195,896,0,1,2
1,21.798202394816204,183,73,1,1,0,356.1,4.9803286,1.1999999999999886,0.93473554,0.63583815,669,195,900,0,1,1
1,21.798202394816204,183,73,1,1,0,356.95,4.6284566,0.5,0.52656084,0.6321839,673,195,904,0,1,1
1,21.798202394816204,183,73,1,1,0,357.9,4.0565796,1.400000000000034,0.59347475,0.62857145,677,195,908,0,1,1
1,21.798202394816204,183,73,1,1,0,359.9,6.5207605,2.599999999999966,0.80554026,0.625,683,195,914,0,1,1
1,21.798202394816204,183,73,1,1,0,361.79999999999995,3.7046976,1.1999999999999886,0.6397997,0.6214689,686,195,917,0,1,1
1,21.798202394816204,183,73,1,1,0,363.15,5.021738,1.5,0,0.6179775,691,195,922,0,1,0
1,21.798202394816204,183,73,1,1,0,365.95,10.16843,4.100000000000023,0.23831639,0.61452514,701,195,932,0,1,1
1,21.798202394816204,183,73,1,1,0,370.1,9.595692,4.199999999999989,0,0.6111111,710,195,941,0,1,1
1,21.798202394816204,183,73,1,1,0,373.25,5.3582745,2.1000000000000227,0.72267,0.6077348,715,195,946,0,1,1
1,21.798202394816204,183,73,1,1,0,375.20000000000005,4.0340405,1.8000000000000114,0.65266776,0.6043956,719,195,950,0,1,1
1,21.798202394816204,183,73,1,1,0,376.9,3.6730342,1.599999999999966,0.45964694,0.6010929,722,195,953,0,1,1
1,21.798202394816204,183,73,1,1,0,380.15,10.072353,4.900000000000034,0.74789137,0.59782606,732,195,963,0,1,2
1,21.798202394816204,183,73,1,1,0,382.5,4.488524,-0.20000000000004547,0.56928277,0.5945946,732,199,967,0,1,1
1,21.798202394816204,183,73,1,1,0,382.6,6.047913,0.4000000000000341,0.8178936,0.5913978,738,199,973,0,1,1
